"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"rkqe","#SSF056","Hoa Chia Buồn SSF 056","<p><strong>VÔ TÂM</strong></p>
<p>Để chống lại cái chết, bạn không cần quá nhiều ở cuộc sống, chỉ một cuộc sống chưa kết thúc là đủ rồi.&nbsp;Herta Müller. Trên đời này bạn không cần phải có quá nhiều thứ, bởi vì khi nhắm mắt xuôi tay, những thứ ấy cũng không thể mang đi hết được. Để chống lại cái chết, sống mãi trên thế gian nay, việc bạn cần làm là xây dựng một cuốc sống tràn ngậy yêu thương. Hoa Chia Buồn với tông màu tím chủ đạo là lời tiễn đưa sau hết dành cho người quá cố và đó cũng là lời cảnh tỉnh cho những ai đang vô tâm&nbsp; hời hợt với cuộc sống của mình.</p>
","
<p>Hoa Chia Buồn gồm Hoa Hồng, Cẩm Tú cầu, Hoa Cát Trường, Cúc Camilero cùng các loại hoa lá phụ liệu khác.</p>
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/%3Bljhkhkgcnxc.jpg","Bình thường","Kích thước",1500000
"rkqe","#SSF056","Hoa Chia Buồn SSF 056","<p><strong>VÔ TÂM</strong></p>
<p>Để chống lại cái chết, bạn không cần quá nhiều ở cuộc sống, chỉ một cuộc sống chưa kết thúc là đủ rồi.&nbsp;Herta Müller. Trên đời này bạn không cần phải có quá nhiều thứ, bởi vì khi nhắm mắt xuôi tay, những thứ ấy cũng không thể mang đi hết được. Để chống lại cái chết, sống mãi trên thế gian nay, việc bạn cần làm là xây dựng một cuốc sống tràn ngậy yêu thương. Hoa Chia Buồn với tông màu tím chủ đạo là lời tiễn đưa sau hết dành cho người quá cố và đó cũng là lời cảnh tỉnh cho những ai đang vô tâm&nbsp; hời hợt với cuộc sống của mình.</p>
","
<p>Hoa Chia Buồn gồm Hoa Hồng, Cẩm Tú cầu, Hoa Cát Trường, Cúc Camilero cùng các loại hoa lá phụ liệu khác.</p>
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/%3Bljhkhkgcnxc.jpg","Lớn hơn (+30%)","Kích thước",1950000
"8fdpj","#SSF72","Hoa chia buồn SSF 72",,"
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/Hoa-chia-buon-SSF-(1).jpg","Bình thường","Kích thước",2000000
"8fdpj","#SSF72","Hoa chia buồn SSF 72",,"
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/Hoa-chia-buon-SSF-(1).jpg","Lớn hơn (+30%)","Kích thước",2600000
"5781t","#SSF071","Hoa chia buồn SSF 071","<p><strong>CHIA LY</strong></p>
<p>Khi cuộc đời cho bạn cả trăm lý do để khóc, hãy cho đời thấy bạn có cả ngàn lý do để cười.&nbsp;Khuyết danh. Mất đi một người thân là nỗi đau cực kỳ to lớn, tuy nhiên đừng vì vậy mà&nbsp;những người ở lại đừng quá đau buồn, chắc chắn người đã khuất sẽ mong muốn những người thân yêu của họ hãy cố gắng vượt qua sự chia ly đau buồn mà sống tiếp tục sống tốt. Hoa Chia Buồn trang nhã với màu trắng làm chủ đâọ là lời chia buồn gửi đến thân nhân người quá cố, an ủi họ sớm vượt qua.</p>
","
<p>Hoa Chia Buồn gồm Hoa Ly, Lan Tím, Lan Thái, Hoa Cúc, Phi Yến, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/hoa-chia%20buon-SSF-071.jpg","Bình thường","Kích thước",1000000
"5781t","#SSF071","Hoa chia buồn SSF 071","<p><strong>CHIA LY</strong></p>
<p>Khi cuộc đời cho bạn cả trăm lý do để khóc, hãy cho đời thấy bạn có cả ngàn lý do để cười.&nbsp;Khuyết danh. Mất đi một người thân là nỗi đau cực kỳ to lớn, tuy nhiên đừng vì vậy mà&nbsp;những người ở lại đừng quá đau buồn, chắc chắn người đã khuất sẽ mong muốn những người thân yêu của họ hãy cố gắng vượt qua sự chia ly đau buồn mà sống tiếp tục sống tốt. Hoa Chia Buồn trang nhã với màu trắng làm chủ đâọ là lời chia buồn gửi đến thân nhân người quá cố, an ủi họ sớm vượt qua.</p>
","
<p>Hoa Chia Buồn gồm Hoa Ly, Lan Tím, Lan Thái, Hoa Cúc, Phi Yến, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/hoa-chia%20buon-SSF-071.jpg","Lớn hơn (+30%)","Kích thước",1300000
"05mko","#SSF070","Hoa chia buồn SSF 070","<p><strong>HÀN GẮN&nbsp;</strong></p>
<p>Cuộc sống được tạo nên từ vô vàn cuộc chia ly hàn gắn lại với nhau.&nbsp;Charles Dickens. Từ những mất mát, từ những cuộc chia ly, chúng ta nhận ra được những giá trị của cuộc sống mà sống tốt hơn, có nghĩa hơn. Hoa Chia Buồn với màu trắng - tím chủ đạo là lời động viên, khích lệ tinh thần cho những người ở lại sau sự mất mát to lớn.</p>
","
<p>Hoa Chia Buồn gồm Hoa Ly, Phi Yến, Lan Tím, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/hoa-chia%20buon-SSF-070.jpg","Bình thường","Kích thước",1900000
"05mko","#SSF070","Hoa chia buồn SSF 070","<p><strong>HÀN GẮN&nbsp;</strong></p>
<p>Cuộc sống được tạo nên từ vô vàn cuộc chia ly hàn gắn lại với nhau.&nbsp;Charles Dickens. Từ những mất mát, từ những cuộc chia ly, chúng ta nhận ra được những giá trị của cuộc sống mà sống tốt hơn, có nghĩa hơn. Hoa Chia Buồn với màu trắng - tím chủ đạo là lời động viên, khích lệ tinh thần cho những người ở lại sau sự mất mát to lớn.</p>
","
<p>Hoa Chia Buồn gồm Hoa Ly, Phi Yến, Lan Tím, Hoa Hồng cùng các loại hoa lá phụ liệu khác.</p>
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/hoa-chia%20buon-SSF-070.jpg","Lớn hơn (+30%)","Kích thước",2470000
"lr2ec","#SSF069","Hoa Chia Buồn SSF 069","<p><strong>ĐÁY LÒNG</strong></p>
<p>Cuộc đời có đáng sống không? Tất cả phụ thuộc vào người sống nó.&nbsp;William James. Có lẽ rằng, người quá cố đã có một cuộc sống rất có ý nghĩa, vì thế mà người đã được những người xung quanh yêu mến và kính trọng với trọn tấm&nbsp;lòng. Hoa Chia Buồn với tông trắng 2 tầng thật hoàng tráng gửi đến cố nhân như tấm lòng thành kính tiễn đưa người quá cố và an ủi gia quyến.</p>
","
<p>Hoa Chia Buồn gồm Hoa Hồng, Lan Thái cùng các loại hoa lá phụ liệu khác.</p>
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/Hoa-Chia-Buon-SSF-070.jpg","Bình thường","Kích thước",2000000
"lr2ec","#SSF069","Hoa Chia Buồn SSF 069","<p><strong>ĐÁY LÒNG</strong></p>
<p>Cuộc đời có đáng sống không? Tất cả phụ thuộc vào người sống nó.&nbsp;William James. Có lẽ rằng, người quá cố đã có một cuộc sống rất có ý nghĩa, vì thế mà người đã được những người xung quanh yêu mến và kính trọng với trọn tấm&nbsp;lòng. Hoa Chia Buồn với tông trắng 2 tầng thật hoàng tráng gửi đến cố nhân như tấm lòng thành kính tiễn đưa người quá cố và an ủi gia quyến.</p>
","
<p>Hoa Chia Buồn gồm Hoa Hồng, Lan Thái cùng các loại hoa lá phụ liệu khác.</p>
","Hoa chia buồn","https://hoatuoi360.com/contents/images/Products/hoa-chia-buon/Hoa-Chia-Buon-SSF-070.jpg","Lớn hơn (+30%)","Kích thước",2600000
