"id","sku","name","description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"dbdl","#S000977","Ruột chăn chống khuẩn 220x240cm","
					Ruột chăn ép được sản xuất bằng nguyên liệu bông PE cao cấp nhập khẩu từ Hàn Quốc, vô trùng, thông khí tốt, thoát ẩm nhanh, giúp tuần hoàn máu tốt, rất có lợi cho sức khỏe.<br>Sản phẩm đệm ép hơi có kích thước gọn, thuận tiện cho việc vận chuyển, bảo quản, ruột chăn có thể giặt được.<br>Ruột chăn được sử dụng bông kháng khuẩn công nghệ Nano, là công nghệ hiện đại nhất hiện nay để dùng chống khuẩn, tạo độ thông thoáng cho chăn của bạn. Bạn sử dụng Ruột chăn chống khuẩn Nano Silver, sức khỏe của bạn được bảo vệ tối đa.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/,/uploads/shops/hanvico/ruot-chan-he-ck-1536x1024.jpg,/uploads/shops/,/uploads/shops/hanvico/ruot-chan-he-ck-1536x1024.jpg","220x240cm đông","Kích thước","952.000 đ"
"dbdl","#S000977","Ruột chăn chống khuẩn 220x240cm","
					Ruột chăn ép được sản xuất bằng nguyên liệu bông PE cao cấp nhập khẩu từ Hàn Quốc, vô trùng, thông khí tốt, thoát ẩm nhanh, giúp tuần hoàn máu tốt, rất có lợi cho sức khỏe.<br>Sản phẩm đệm ép hơi có kích thước gọn, thuận tiện cho việc vận chuyển, bảo quản, ruột chăn có thể giặt được.<br>Ruột chăn được sử dụng bông kháng khuẩn công nghệ Nano, là công nghệ hiện đại nhất hiện nay để dùng chống khuẩn, tạo độ thông thoáng cho chăn của bạn. Bạn sử dụng Ruột chăn chống khuẩn Nano Silver, sức khỏe của bạn được bảo vệ tối đa.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/,/uploads/shops/hanvico/ruot-chan-he-ck-1536x1024.jpg,/uploads/shops/,/uploads/shops/hanvico/ruot-chan-he-ck-1536x1024.jpg","220x240cm hè","Kích thước","858.500 đ"
"6gcy","#S000976","Ruột gối trẻ em 35*50","
					Sản phẩm có ưu điểm nổi trội:<br>– Lưu thông không khí tốt, thoát ẩm nhanh<br>– Giúp tuần hoàn máu tốt, có lợi cho sức khỏe<br>– Best Pillow được sản xuất bằng hạt Ball Fiber cao cấp nhập khẩu từ Hàn Quốc, Ruột gối được không bị xẹp, lún trong thời gian sử dụng đem lại cuộc sống thoải mái và sức khỏe được bảo vệ tối đa cho bạn và người thân.<br>– Mô tả: Được làm từ nguyên liệu bông cao cấp của Hàn Quốc có xử lý Silicon giúp cơ thể được thư giãn, đem lại cho bạn sự ấm áp trong mùa đông giá lạnh.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/hanvico/goi-om-hanvico_1.jpg,/uploads/shops/hanvico/rg-hvc-mcr_1.jpg,/uploads/shops/hanvico/goi-om-hanvico_1.jpg,/uploads/shops/hanvico/rg-hvc-mcr_1.jpg","35x50","Kích thước","76.500 đ"
"rjzkn","#S000975","Ruột gối ép Hanvico TCM","
					Sản phẩm có ưu điểm nổi trội:<br>– Lưu thông không khí tốt, thoát ẩm nhanh<br>– Giúp tuần hoàn máu tốt, có lợi cho sức khỏe<br>– Best Pillow được sản xuất bằng hạt Ball Fiber cao cấp nhập khẩu từ Hàn Quốc, Ruột gối được không bị xẹp, lún trong thời gian sử dụng đem lại cuộc sống thoải mái và sức khỏe được bảo vệ tối đa cho bạn và người thân.<br>– Mô tả: Được làm từ nguyên liệu bông cao cấp của Hàn Quốc có xử lý Silicon giúp cơ thể được thư giãn, đem lại cho bạn sự ấm áp trong mùa đông giá lạnh.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/,/uploads/shops/hanvico/rg-ep-2-1366x2048.jpg,/uploads/shops/,/uploads/shops/hanvico/rg-ep-2-1366x2048.jpg","45x65","Kích thước","110.500 đ"
"rjzkn","#S000975","Ruột gối ép Hanvico TCM","
					Sản phẩm có ưu điểm nổi trội:<br>– Lưu thông không khí tốt, thoát ẩm nhanh<br>– Giúp tuần hoàn máu tốt, có lợi cho sức khỏe<br>– Best Pillow được sản xuất bằng hạt Ball Fiber cao cấp nhập khẩu từ Hàn Quốc, Ruột gối được không bị xẹp, lún trong thời gian sử dụng đem lại cuộc sống thoải mái và sức khỏe được bảo vệ tối đa cho bạn và người thân.<br>– Mô tả: Được làm từ nguyên liệu bông cao cấp của Hàn Quốc có xử lý Silicon giúp cơ thể được thư giãn, đem lại cho bạn sự ấm áp trong mùa đông giá lạnh.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/,/uploads/shops/hanvico/rg-ep-2-1366x2048.jpg,/uploads/shops/,/uploads/shops/hanvico/rg-ep-2-1366x2048.jpg","50x70","Kích thước","131.750 đ"
"7dd1o","#S000974","Ruột chăn đông bông Micro","
					Ruột chăn đông Micro
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/hanvico/ruot-chan-micro-1536x1024.jpg,/uploads/shops/hanvico/ruot-chan-micro.jpg,/uploads/shops/hanvico/ruot-chan-micro-1536x1024.jpg,/uploads/shops/hanvico/ruot-chan-micro.jpg","200x220","Kích thước","926.500 đ"
"3iq3s","#S000973","Ruột gối tựa","
					Sản phẩm có ưu điểm nổi trội:<br>– Lưu thông không khí tốt, thoát ẩm nhanh<br>– Giúp tuần hoàn máu tốt, có lợi cho sức khỏe<br>– Best Pillow được sản xuất bằng hạt Ball Fiber cao cấp nhập khẩu từ Hàn Quốc, Ruột gối được không bị xẹp, lún trong thời gian sử dụng đem lại cuộc sống thoải mái và sức khỏe được bảo vệ tối đa cho bạn và người thân.<br>– Mô tả: Được làm từ nguyên liệu bông cao cấp của Hàn Quốc có xử lý Silicon giúp cơ thể được thư giãn, đem lại cho bạn sự ấm áp trong mùa đông giá lạnh.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/hanvico/ruot-goi.jpg,/uploads/shops/hanvico/goi-om-hanvico.jpg,/uploads/shops/hanvico/ruot-goi.jpg,/uploads/shops/hanvico/goi-om-hanvico.jpg","45x45","Kích thước","76.500 đ"
"3iq3s","#S000973","Ruột gối tựa","
					Sản phẩm có ưu điểm nổi trội:<br>– Lưu thông không khí tốt, thoát ẩm nhanh<br>– Giúp tuần hoàn máu tốt, có lợi cho sức khỏe<br>– Best Pillow được sản xuất bằng hạt Ball Fiber cao cấp nhập khẩu từ Hàn Quốc, Ruột gối được không bị xẹp, lún trong thời gian sử dụng đem lại cuộc sống thoải mái và sức khỏe được bảo vệ tối đa cho bạn và người thân.<br>– Mô tả: Được làm từ nguyên liệu bông cao cấp của Hàn Quốc có xử lý Silicon giúp cơ thể được thư giãn, đem lại cho bạn sự ấm áp trong mùa đông giá lạnh.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/hanvico/ruot-goi.jpg,/uploads/shops/hanvico/goi-om-hanvico.jpg,/uploads/shops/hanvico/ruot-goi.jpg,/uploads/shops/hanvico/goi-om-hanvico.jpg","60x60","Kích thước","170.000 đ"
"ohyol","#S000972","Ruột gối ôm Hanvco  80*100","
					<strong>Sản phẩm Ruột gối ôm Hanvico có ưu điểm nổi trội:</strong><br>– Lưu thông không khí tốt, thoát ẩm nhanh<br>– Giúp tuần hoàn máu tốt, có lợi cho sức khỏe<br>– Best Pillow được sản xuất bằng hạt Ball Fiber cao cấp nhập khẩu từ Hàn Quốc, Ruột gối được không bị xẹp, lún trong thời gian sử dụng đem lại cuộc sống thoải mái và sức khỏe được bảo vệ tối đa cho bạn và người thân.<br>– Mô tả: Được làm từ nguyên liệu bông cao cấp của Hàn Quốc có xử lý Silicon giúp cơ thể được thư giãn, đem lại cho bạn sự ấm áp trong mùa đông giá lạnh.<br>Bạn cũng có thể đặt mua ruột chăn số lượng lớn với mức giá cực kỳ ưu đãi.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/hanvico/goi-om-hanvico.jpg,/uploads/shops/hanvico/goi-om.jpg,/uploads/shops/hanvico/goi-om-hanvico.jpg,/uploads/shops/hanvico/goi-om.jpg","80x100","Kích thước","216.750 đ"
"fze36","#S000971","Ruột gối đơn Hanvico Micro","
					Sản phẩm có ưu điểm nổi trội:<br>– Lưu thông không khí tốt, thoát ẩm nhanh<br>– Giúp tuần hoàn máu tốt, có lợi cho sức khỏe<br>–&nbsp;Ruột gối được làm từ bông sợi cực mịn Microfiber, cho bạn cảm giác êm ái và thoải mái khi xoay trở, đảm bảo thông thoáng nhưng vẫn giữ được hơi ấm cho người sử dụng trong mùa đông giá lạnh.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/,/uploads/shops/hanvico/rg-hvc-mcr.jpg,/uploads/shops/,/uploads/shops/hanvico/rg-hvc-mcr.jpg","46x65","Kích thước","246.500 đ"
"fze36","#S000971","Ruột gối đơn Hanvico Micro","
					Sản phẩm có ưu điểm nổi trội:<br>– Lưu thông không khí tốt, thoát ẩm nhanh<br>– Giúp tuần hoàn máu tốt, có lợi cho sức khỏe<br>–&nbsp;Ruột gối được làm từ bông sợi cực mịn Microfiber, cho bạn cảm giác êm ái và thoải mái khi xoay trở, đảm bảo thông thoáng nhưng vẫn giữ được hơi ấm cho người sử dụng trong mùa đông giá lạnh.
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Ruột-Chăn-Gối Hanvico","/uploads/shops/,/uploads/shops/hanvico/rg-hvc-mcr.jpg,/uploads/shops/,/uploads/shops/hanvico/rg-hvc-mcr.jpg","50x70","Kích thước","272.000 đ"
