"id","sku","name","description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"eemgl","#S001326","Đệm Nano Foam Massage *20cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","200*220","Kích thước","7.556.500 đ"
"eemgl","#S001326","Đệm Nano Foam Massage *20cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","180*200","Kích thước","6.604.500 đ"
"eemgl","#S001326","Đệm Nano Foam Massage *20cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","160*200","Kích thước","5.814.000 đ"
"eemgl","#S001326","Đệm Nano Foam Massage *20cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","150*190","Kích thước","5.367.750 đ"
"eemgl","#S001326","Đệm Nano Foam Massage *20cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","120*190","Kích thước","4.798.250 đ"
"vvzls","#S001325","Đệm Nano Foam Massage *15cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","200*220","Kích thước","5.971.250 đ"
"vvzls","#S001325","Đệm Nano Foam Massage *15cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","180*200","Kích thước","5.236.000 đ"
"vvzls","#S001325","Đệm Nano Foam Massage *15cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","160*200","Kích thước","4.624.000 đ"
"vvzls","#S001325","Đệm Nano Foam Massage *15cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","150*190","Kích thước","4.267.000 đ"
"vvzls","#S001325","Đệm Nano Foam Massage *15cm","
					Nano Foam Massage là dòng sản phẩm Foam đang được bán chạy trên thị trường của công ty Elan. Được kết cấu bởi Support PU Foam để tăng cường chịu lực kết hợp với lớp Soft Foam tạo sự êm ái và thoáng mát về bề mặt bởi lớp massage<br>Đặc tính:<br>+ Support PU Foam D43 tăng cường và nâng đỡ các vùng cơ thể<br>+ Soft Foam massage ở bề mặt tăng sự êm ái khi đặt mình xuồng<br>+ Áo vải đệm được thiết kế bới 2 màu là Ghi và Đen tạo ra sự kết hợp&nbsp; hoàn hoàn giúp căn phòng trở nên hiện đại<br>+ Áo lót đệm bảo lớp Foam đa tầng bên trong tránh bụi bẩn và vi khuẩn<br>+ Giúp các cơ giảm streess, phân tán áp lực cơ thể đồng đều<br>+ Độ bền lâu dài<br>+ Tạo sự êm ái và ngon giấc<br>+ Bảo Hành 7 năm
				","Chăn gối nệm>  Sản Phẩm Elan>  Đệm Elan","/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg,/uploads/shops/elan/z3313752503216_c86cc44679417e1c60d6a36c20a02482.jpg,/uploads/shops/elan/z3313752531749_5e36fe0d7bdf4b4538bd4f161bb27105.jpg","120*190","Kích thước","3.820.750 đ"
