"id","sku","name","description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"9urqr","#S001064","Đệm bông gấm chống khuẩn dày 9cm","
					<p>Đệm bông gấm chống khuẩn là sự đột phá táo bạo trong công nghệ chăm sóc giấc ngủ của Hanvico với:</p><p>Nguồn nguyên liệu bông nhập khẩu và được tinh chế theo công nghệ ép nhiệt hiện đại của Hàn Quốc tạo ra sản phẩm có độ cứng tiêu chuẩn không gây đau lưng,vô trùng, thông khí tốt, có lợi cho quá trình tuần hoàn máu.</p><p>Công nghệ trải bông đứng, hiện đại nhất hiện nay trên thế giới giúp đệm có lượng bông nhiều hơn, ép cứng hơn và tạo lưu thông không khí tối ưu.</p><p>Vỏ đệm được sử dụng vải gấm cao cấp, nhập khẩu từ Hàn Quốc có thể chống cháy (hạn chế việc bắt lửa), hạn chế thấm nước giúp bảo vệ và tăng độ bền cho đệm.</p><p>Lõi đệm cũng được sử dụng bông kháng khuẩn nano, giúp đệm hạn chế bám bụi bận và các vi khuẩn có hại cho sức khỏe khác trong các mội trường.</p><p>Với cấu tạo gồm 2 đến 3 mảnh nên đệm bông PE gấm rất bền, thuận tiện cho việc vận chuyển và cất trữ.</p><p>Là dòng sản phẩm của Hanvico đệm PE gấm rất được khách hàng ưa chuộng hiện nay.</p><p>(Thời gian bảo hành: 5 năm .Chú ý:Đệm chỉ có 2 mảnh gấp ).</p>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg,/uploads/shops/hanvico/dem-gam-006-600x450.jpeg,/uploads/shops/hanvico/dem-gam-008-600x450.jpeg,/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg","200x220","Kích thước","4.683.500 đ"
"9urqr","#S001064","Đệm bông gấm chống khuẩn dày 9cm","
					<p>Đệm bông gấm chống khuẩn là sự đột phá táo bạo trong công nghệ chăm sóc giấc ngủ của Hanvico với:</p><p>Nguồn nguyên liệu bông nhập khẩu và được tinh chế theo công nghệ ép nhiệt hiện đại của Hàn Quốc tạo ra sản phẩm có độ cứng tiêu chuẩn không gây đau lưng,vô trùng, thông khí tốt, có lợi cho quá trình tuần hoàn máu.</p><p>Công nghệ trải bông đứng, hiện đại nhất hiện nay trên thế giới giúp đệm có lượng bông nhiều hơn, ép cứng hơn và tạo lưu thông không khí tối ưu.</p><p>Vỏ đệm được sử dụng vải gấm cao cấp, nhập khẩu từ Hàn Quốc có thể chống cháy (hạn chế việc bắt lửa), hạn chế thấm nước giúp bảo vệ và tăng độ bền cho đệm.</p><p>Lõi đệm cũng được sử dụng bông kháng khuẩn nano, giúp đệm hạn chế bám bụi bận và các vi khuẩn có hại cho sức khỏe khác trong các mội trường.</p><p>Với cấu tạo gồm 2 đến 3 mảnh nên đệm bông PE gấm rất bền, thuận tiện cho việc vận chuyển và cất trữ.</p><p>Là dòng sản phẩm của Hanvico đệm PE gấm rất được khách hàng ưa chuộng hiện nay.</p><p>(Thời gian bảo hành: 5 năm .Chú ý:Đệm chỉ có 2 mảnh gấp ).</p>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg,/uploads/shops/hanvico/dem-gam-006-600x450.jpeg,/uploads/shops/hanvico/dem-gam-008-600x450.jpeg,/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg","180x200","Kích thước","3.570.000 đ"
"9urqr","#S001064","Đệm bông gấm chống khuẩn dày 9cm","
					<p>Đệm bông gấm chống khuẩn là sự đột phá táo bạo trong công nghệ chăm sóc giấc ngủ của Hanvico với:</p><p>Nguồn nguyên liệu bông nhập khẩu và được tinh chế theo công nghệ ép nhiệt hiện đại của Hàn Quốc tạo ra sản phẩm có độ cứng tiêu chuẩn không gây đau lưng,vô trùng, thông khí tốt, có lợi cho quá trình tuần hoàn máu.</p><p>Công nghệ trải bông đứng, hiện đại nhất hiện nay trên thế giới giúp đệm có lượng bông nhiều hơn, ép cứng hơn và tạo lưu thông không khí tối ưu.</p><p>Vỏ đệm được sử dụng vải gấm cao cấp, nhập khẩu từ Hàn Quốc có thể chống cháy (hạn chế việc bắt lửa), hạn chế thấm nước giúp bảo vệ và tăng độ bền cho đệm.</p><p>Lõi đệm cũng được sử dụng bông kháng khuẩn nano, giúp đệm hạn chế bám bụi bận và các vi khuẩn có hại cho sức khỏe khác trong các mội trường.</p><p>Với cấu tạo gồm 2 đến 3 mảnh nên đệm bông PE gấm rất bền, thuận tiện cho việc vận chuyển và cất trữ.</p><p>Là dòng sản phẩm của Hanvico đệm PE gấm rất được khách hàng ưa chuộng hiện nay.</p><p>(Thời gian bảo hành: 5 năm .Chú ý:Đệm chỉ có 2 mảnh gấp ).</p>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg,/uploads/shops/hanvico/dem-gam-006-600x450.jpeg,/uploads/shops/hanvico/dem-gam-008-600x450.jpeg,/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg","160x200","Kích thước","3.204.500 đ"
"9urqr","#S001064","Đệm bông gấm chống khuẩn dày 9cm","
					<p>Đệm bông gấm chống khuẩn là sự đột phá táo bạo trong công nghệ chăm sóc giấc ngủ của Hanvico với:</p><p>Nguồn nguyên liệu bông nhập khẩu và được tinh chế theo công nghệ ép nhiệt hiện đại của Hàn Quốc tạo ra sản phẩm có độ cứng tiêu chuẩn không gây đau lưng,vô trùng, thông khí tốt, có lợi cho quá trình tuần hoàn máu.</p><p>Công nghệ trải bông đứng, hiện đại nhất hiện nay trên thế giới giúp đệm có lượng bông nhiều hơn, ép cứng hơn và tạo lưu thông không khí tối ưu.</p><p>Vỏ đệm được sử dụng vải gấm cao cấp, nhập khẩu từ Hàn Quốc có thể chống cháy (hạn chế việc bắt lửa), hạn chế thấm nước giúp bảo vệ và tăng độ bền cho đệm.</p><p>Lõi đệm cũng được sử dụng bông kháng khuẩn nano, giúp đệm hạn chế bám bụi bận và các vi khuẩn có hại cho sức khỏe khác trong các mội trường.</p><p>Với cấu tạo gồm 2 đến 3 mảnh nên đệm bông PE gấm rất bền, thuận tiện cho việc vận chuyển và cất trữ.</p><p>Là dòng sản phẩm của Hanvico đệm PE gấm rất được khách hàng ưa chuộng hiện nay.</p><p>(Thời gian bảo hành: 5 năm .Chú ý:Đệm chỉ có 2 mảnh gấp ).</p>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg,/uploads/shops/hanvico/dem-gam-006-600x450.jpeg,/uploads/shops/hanvico/dem-gam-008-600x450.jpeg,/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg","150x190","Kích thước","3.000.500 đ"
"9urqr","#S001064","Đệm bông gấm chống khuẩn dày 9cm","
					<p>Đệm bông gấm chống khuẩn là sự đột phá táo bạo trong công nghệ chăm sóc giấc ngủ của Hanvico với:</p><p>Nguồn nguyên liệu bông nhập khẩu và được tinh chế theo công nghệ ép nhiệt hiện đại của Hàn Quốc tạo ra sản phẩm có độ cứng tiêu chuẩn không gây đau lưng,vô trùng, thông khí tốt, có lợi cho quá trình tuần hoàn máu.</p><p>Công nghệ trải bông đứng, hiện đại nhất hiện nay trên thế giới giúp đệm có lượng bông nhiều hơn, ép cứng hơn và tạo lưu thông không khí tối ưu.</p><p>Vỏ đệm được sử dụng vải gấm cao cấp, nhập khẩu từ Hàn Quốc có thể chống cháy (hạn chế việc bắt lửa), hạn chế thấm nước giúp bảo vệ và tăng độ bền cho đệm.</p><p>Lõi đệm cũng được sử dụng bông kháng khuẩn nano, giúp đệm hạn chế bám bụi bận và các vi khuẩn có hại cho sức khỏe khác trong các mội trường.</p><p>Với cấu tạo gồm 2 đến 3 mảnh nên đệm bông PE gấm rất bền, thuận tiện cho việc vận chuyển và cất trữ.</p><p>Là dòng sản phẩm của Hanvico đệm PE gấm rất được khách hàng ưa chuộng hiện nay.</p><p>(Thời gian bảo hành: 5 năm .Chú ý:Đệm chỉ có 2 mảnh gấp ).</p>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg,/uploads/shops/hanvico/dem-gam-006-600x450.jpeg,/uploads/shops/hanvico/dem-gam-008-600x450.jpeg,/uploads/shops/hanvico/dem-gam-011-600x450.jpeg,/uploads/shops/hanvico/dem-gam-005-600x450.jpeg","120x190","Kích thước","2.354.500 đ"
"o99ia","#S001062","Đệm Lò xo túi U.Athena 30cm","
					<ul>	<li>Chất liệu vải tencel. Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Lò xo túi độc lập. Lớp bảo vệ kép dành riêng cho túi lò xo.</li>	<li>Thành đệm kết cấu bằng lớp mút chịu lực cao cấp.</li>	<li>Foam cường lực tạo độ dày và độ ổn định cho đệm.</li>	<li>Công nghệ bông Nano chống khuẩn.</li>	<li>Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Công nghệ chống thấm. Vải chống cháy.</li>	<li>Chống mùi và nấm mốc.</li>	<li>Bề mặt có thể tháo dời.</li></ul>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg,/uploads/shops/hanvico/uathena-3-600x400.jpg,/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg","120x190","Kích thước","12.410.000 đ"
"o99ia","#S001062","Đệm Lò xo túi U.Athena 30cm","
					<ul>	<li>Chất liệu vải tencel. Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Lò xo túi độc lập. Lớp bảo vệ kép dành riêng cho túi lò xo.</li>	<li>Thành đệm kết cấu bằng lớp mút chịu lực cao cấp.</li>	<li>Foam cường lực tạo độ dày và độ ổn định cho đệm.</li>	<li>Công nghệ bông Nano chống khuẩn.</li>	<li>Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Công nghệ chống thấm. Vải chống cháy.</li>	<li>Chống mùi và nấm mốc.</li>	<li>Bề mặt có thể tháo dời.</li></ul>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg,/uploads/shops/hanvico/uathena-3-600x400.jpg,/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg","150x190","Kích thước","14.654.000 đ"
"o99ia","#S001062","Đệm Lò xo túi U.Athena 30cm","
					<ul>	<li>Chất liệu vải tencel. Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Lò xo túi độc lập. Lớp bảo vệ kép dành riêng cho túi lò xo.</li>	<li>Thành đệm kết cấu bằng lớp mút chịu lực cao cấp.</li>	<li>Foam cường lực tạo độ dày và độ ổn định cho đệm.</li>	<li>Công nghệ bông Nano chống khuẩn.</li>	<li>Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Công nghệ chống thấm. Vải chống cháy.</li>	<li>Chống mùi và nấm mốc.</li>	<li>Bề mặt có thể tháo dời.</li></ul>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg,/uploads/shops/hanvico/uathena-3-600x400.jpg,/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg","160x200","Kích thước","16.175.500 đ"
"o99ia","#S001062","Đệm Lò xo túi U.Athena 30cm","
					<ul>	<li>Chất liệu vải tencel. Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Lò xo túi độc lập. Lớp bảo vệ kép dành riêng cho túi lò xo.</li>	<li>Thành đệm kết cấu bằng lớp mút chịu lực cao cấp.</li>	<li>Foam cường lực tạo độ dày và độ ổn định cho đệm.</li>	<li>Công nghệ bông Nano chống khuẩn.</li>	<li>Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Công nghệ chống thấm. Vải chống cháy.</li>	<li>Chống mùi và nấm mốc.</li>	<li>Bề mặt có thể tháo dời.</li></ul>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg,/uploads/shops/hanvico/uathena-3-600x400.jpg,/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg","180x200","Kích thước","17.229.500 đ"
"o99ia","#S001062","Đệm Lò xo túi U.Athena 30cm","
					<ul>	<li>Chất liệu vải tencel. Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Lò xo túi độc lập. Lớp bảo vệ kép dành riêng cho túi lò xo.</li>	<li>Thành đệm kết cấu bằng lớp mút chịu lực cao cấp.</li>	<li>Foam cường lực tạo độ dày và độ ổn định cho đệm.</li>	<li>Công nghệ bông Nano chống khuẩn.</li>	<li>Công nghệ lớp vải 3D siêu thông thoáng.</li>	<li>Công nghệ chống thấm. Vải chống cháy.</li>	<li>Chống mùi và nấm mốc.</li>	<li>Bề mặt có thể tháo dời.</li></ul>
				","Chăn gối nệm>  Sản Phẩm Hanvico>  Đệm Hanvico","/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg,/uploads/shops/hanvico/uathena-3-600x400.jpg,/uploads/shops/hanvico/uathena-5-600x400-1.jpg,/uploads/shops/hanvico/uathena-2-600x400.jpg","200x220","Kích thước","19.881.500 đ"
